record_date,hk_code,company_name,a_ticker,h_offer_price_hkd,a_close_cny,cny_hkd,ah_premium,source,notes
2026-07-06,00537.HK,普源精电,688337.SS,45.98,60.86,1.154,52.7,Yahoo Finance chart API,A股最新日线收盘价按 CNY/HKD 转港币后与H股招股价比较
2026-07-06,02475.HK,立讯精密,002475.SZ,63.28,62.88,1.154,14.7,Yahoo Finance chart API,A股最新日线收盘价按 CNY/HKD 转港币后与H股招股价比较
2026-07-06,06951.HK,三环集团,300408.SZ,100.3,141.73,1.154,63.1,Yahoo Finance chart API,A股最新日线收盘价按 CNY/HKD 转港币后与H股招股价比较
2026-07-06,01377.HK,鼎泰高科,301377.SZ,380.0,486,1.154,47.6,Yahoo Finance chart API,A股最新日线收盘价按 CNY/HKD 转港币后与H股招股价比较
2026-07-06,02249.HK,晶合集成,688249.SS,32.3,61.48,1.154,119.7,Yahoo Finance chart API,A股最新日线收盘价按 CNY/HKD 转港币后与H股招股价比较
2026-07-06,06745.HK,滨化股份,601678.SS,3.59,6.24,1.154,100.6,Yahoo Finance chart API,A股最新日线收盘价按 CNY/HKD 转港币后与H股招股价比较
