record_date,captured_at,stock_code,company_name,subscription_multiple,status,subscription_end_date,data_type,data_source,source_url
2026-07-06,2026-07-06 11:45:08 CST,00537,普源精电,79.20,已截止,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-06,2026-07-06 11:45:08 CST,01377,鼎泰高科,142.75,已截止,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-06,2026-07-06 11:45:08 CST,02475,立讯精密,2.45,已截止,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-06,2026-07-06 11:45:08 CST,02797,齐云山食品,703.61,已截止,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-06,2026-07-06 11:45:08 CST,03752,珞石机器人,90.92,已截止,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-06,2026-07-06 11:45:08 CST,06951,三环集团,156.39,已截止,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-06,2026-07-06 11:45:08 CST,02249,晶合集成,5.85,认购中,2026-07-07,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-06,2026-07-06 11:45:08 CST,06745,滨化股份,4.87,认购中,2026-07-07,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-06,2026-07-06 11:45:08 CST,02523,永康控股,15.85,认购中,2026-07-08,招股期实时推算值,HKIPOx,https://hkipox.com/
