record_date,generated_at,code,name,price,change_pct,change,volume,amount,source
2026-07-06,2026-07-06T11:24:33+08:00,601003,柳钢股份,3.44,-0.86,-0.03,64563.0,22403257.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300074,华平股份,3.44,-2.82,-0.1,122099.0,42735245.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000652,泰达股份,3.44,-0.58,-0.02,57411.0,19927935.99,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000868,安凯客车,3.43,-0.58,-0.02,70323.0,24362296.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000720,新能泰山,3.43,-4.19,-0.15,223908.0,78415000.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600790,轻纺城,3.42,0.0,0.0,73219.0,25094021.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002672,东江环保,3.42,-1.72,-0.06,74571.0,25907864.56,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002581,*ST未名,3.42,-0.87,-0.03,40626.0,14065829.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600033,福建高速,3.41,0.89,0.03,118649.0,40332741.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600681,百川能源,3.4,-0.58,-0.02,72673.0,24817872.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300459,汤姆猫,3.4,-0.29,-0.01,431077.0,147288141.19,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002512,ST达华,3.4,-1.73,-0.06,230350.0,80345975.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002075,沙钢股份,3.4,-1.45,-0.05,173215.0,59433341.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000509,华塑控股,3.4,-2.3,-0.08,222506.0,77258878.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600716,凤凰股份,3.39,-0.59,-0.02,30756.0,10557068.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002375,亚厦股份,3.39,0.0,0.0,77446.0,26449340.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002224,三 力 士,3.39,-1.45,-0.05,65277.0,22390131.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000912,泸天化,3.39,-0.29,-0.01,106707.0,36495309.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601113,华鼎股份,3.38,-0.59,-0.02,69650.0,23694084.0,本地最近行情CSV
